# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828926609,-0.040039062,-0.8466797,0.50683594,-0.125,0.15625,0.0,0.0,0.0,0.0
1695828926649,-0.046875,-0.8486328,0.5029297,-0.0625,-0.03125,-0.1875,0.0,0.0,0.0
1695828926689,-0.0390625,-0.8496094,0.5253906,0.0,0.09375,-0.0625,0.0,0.0,0.0
1695828926729,-0.04296875,-0.8486328,0.51464844,-0.0625,-0.03125,-0.0625,0.0,0.0,0.0
1695828926769,-0.044921875,-0.8515625,0.5136719,-0.125,0.03125,0.125,0.0,0.0,0.0
1695828926809,-0.038085938,-0.8496094,0.5136719,0.0,-0.09375,0.0,0.0,0.0,0.0
1695828926849,-0.049804688,-0.8486328,0.5048828,0.0,-0.28125,0.0625,0.0,0.0,0.0
1695828926889,-0.043945312,-0.84375,0.5,0.4375,-0.09375,0.125,0.0,0.0,0.0
1695828926929,-0.043945312,-0.83984375,0.49804688,-0.1875,-0.15625,0.125,0.0,0.0,0.0
1695828926969,-0.051757812,-0.8535156,0.51464844,0.125,0.40625,0.0625,52.375,-65.6875,-74.75
1695828927010,-0.044921875,-0.8496094,0.5185547,-0.125,0.15625,-0.125,0.0,0.0,0.0
1695828927050,-0.045898438,-0.8457031,0.5048828,0.125,0.34375,-0.0625,0.0,0.0,0.0
1695828927090,-0.049804688,-0.85058594,0.49804688,-0.125,-0.03125,0.0,0.0,0.0,0.0
1695828927130,-0.040039062,-0.84375,0.5078125,0.0,-0.09375,0.0625,0.0,0.0,0.0
1695828927170,-0.040039062,-0.84765625,0.515625,-0.1875,-0.09375,0.125,0.0,0.0,0.0
1695828927210,-0.040039062,-0.8535156,0.49902344,-0.25,-0.03125,0.125,0.0,0.0,0.0
1695828927250,-0.041992188,-0.8515625,0.5234375,-0.1875,-0.28125,-0.0625,0.0,0.0,0.0
1695828927290,-0.032226562,-0.85546875,0.5097656,0.0,-0.09375,-0.0625,0.0,0.0,0.0
1695828927330,-0.049804688,-0.84375,0.5185547,0.0,-0.15625,-0.0625,0.0,0.0,0.0
1695828927370,-0.034179688,-0.85058594,0.50878906,-0.0625,0.09375,-0.125,0.0,0.0,0.0
1695828927410,-0.051757812,-0.8535156,0.5126953,0.125,-0.09375,-0.125,0.0,0.0,0.0
1695828927450,-0.040039062,-0.8330078,0.52246094,-0.125,-0.21875,0.0,0.0,0.0,0.0
1695828927490,-0.04296875,-0.85253906,0.51660156,0.0,-0.15625,0.0,53.5625,-66.875,-74.875
1695828927530,-0.044921875,-0.84472656,0.4970703,0.0,-0.15625,0.0,0.0,0.0,0.0
1695828927570,-0.038085938,-0.8574219,0.515625,0.0625,-0.15625,0.0,0.0,0.0,0.0
1695828927610,-0.038085938,-0.84375,0.5097656,0.0625,-0.09375,0.1875,0.0,0.0,0.0
1695828927650,-0.037109375,-0.85546875,0.5048828,0.0625,0.09375,0.1875,0.0,0.0,0.0
1695828927690,-0.044921875,-0.85253906,0.5175781,0.125,0.09375,0.25,0.0,0.0,0.0
1695828927731,-0.041992188,-0.85253906,0.5078125,0.375,0.34375,-0.125,0.0,0.0,0.0
1695828927771,-0.03515625,-0.8466797,0.5136719,0.0625,0.28125,0.0,0.0,0.0,0.0
1695828927811,-0.04296875,-0.84765625,0.5048828,0.25,0.21875,0.125,0.0,0.0,0.0
1695828927851,-0.04296875,-0.84277344,0.50097656,0.0625,-0.03125,0.1875,0.0,0.0,0.0
1695828927891,-0.045898438,-0.84765625,0.5029297,0.0,-0.28125,0.0625,0.0,0.0,0.0
1695828927931,-0.036132812,-0.8535156,0.51464844,0.0,-0.15625,0.125,0.0,0.0,0.0
1695828927971,-0.040039062,-0.8544922,0.5,-0.25,-0.09375,0.25,53.125,-67.0,-76.375
1695828928011,-0.046875,-0.8515625,0.5029297,-0.125,-0.53125,0.0,0.0,0.0,0.0
1695828928051,-0.041992188,-0.8535156,0.5126953,-0.125,-0.28125,0.125,0.0,0.0,0.0
1695828928091,-0.036132812,-0.84765625,0.4970703,0.0,-0.15625,0.125,0.0,0.0,0.0
1695828928131,-0.040039062,-0.85058594,0.50878906,0.125,0.15625,0.0,0.0,0.0,0.0
1695828928171,-0.0390625,-0.84375,0.51171875,0.0,-0.09375,0.0625,0.0,0.0,0.0
1695828928211,-0.05078125,-0.85253906,0.5,-0.125,-0.09375,0.0,0.0,0.0,0.0
1695828928251,-0.0390625,-0.84375,0.51464844,-0.125,-0.03125,0.125,0.0,0.0,0.0
1695828928291,-0.041992188,-0.85058594,0.50878906,-0.0625,-0.21875,-0.0625,0.0,0.0,0.0
1695828928331,-0.046875,-0.8466797,0.51660156,-0.0625,-0.28125,0.0625,0.0,0.0,0.0
