# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828861573,0.45092773,-0.7876587,-0.4319458,-0.84375,-0.625,-0.078125
1695828861613,0.4494629,-0.7698364,-0.4319458,-0.84375,-1.4375,0.0
1695828861653,0.4597168,-0.7661743,-0.4336548,-1.0,-0.671875,0.0
1695828861693,0.45483398,-0.772522,-0.42633057,-0.578125,-0.765625,0.0625
1695828861733,0.4482422,-0.7817993,-0.43341064,-0.921875,-1.046875,-0.171875
1695828861773,0.45703125,-0.77178955,-0.4319458,-0.375,0.03125,0.015625
1695828861813,0.45141602,-0.78375244,-0.42510986,-0.890625,-1.0,0.125
1695828861853,0.45117188,-0.7793579,-0.42730713,-0.390625,-0.234375,-0.15625
1695828861893,0.45629883,-0.7732544,-0.43121338,-0.34375,-0.625,0.171875
1695828861933,0.44848633,-0.78082275,-0.42803955,-0.359375,-0.90625,-0.015625
1695828861973,0.46191406,-0.7720337,-0.4360962,-0.84375,0.40625,-0.15625
1695828862013,0.44873047,-0.78131104,-0.4175415,0.28125,-2.453125,-0.109375
1695828862053,0.45825195,-0.7744751,-0.45465088,-0.6875,1.34375,-0.234375
1695828862094,0.46142578,-0.78253174,-0.41583252,0.546875,-0.125,-0.140625
1695828862134,0.44995117,-0.78375244,-0.43048096,-0.140625,-0.28125,-0.25
1695828862174,0.46069336,-0.7642212,-0.42877197,-0.125,0.15625,-0.171875
1695828862214,0.4580078,-0.7815552,-0.4277954,-0.46875,-0.65625,-0.1875
1695828862254,0.44970703,-0.77667236,-0.43267822,0.359375,-0.59375,0.0625
1695828862294,0.45776367,-0.7744751,-0.42803955,-0.625,-0.828125,0.09375
1695828862334,0.45532227,-0.7739868,-0.4336548,-0.171875,-0.4375,-0.171875
1695828862374,0.44091797,-0.78131104,-0.427063,0.03125,-1.0,-0.03125
1695828862414,0.4638672,-0.7727661,-0.43267822,-0.078125,-0.171875,-0.34375
1695828862454,0.4482422,-0.7776489,-0.42633057,-0.09375,-0.78125,-0.265625
1695828862494,0.4543457,-0.7727661,-0.43829346,-0.125,0.546875,-0.234375
1695828862534,0.45776367,-0.772522,-0.4336548,-0.078125,-0.453125,-0.328125
1695828862574,0.45166016,-0.7761841,-0.43463135,0.328125,-0.59375,-0.328125
1695828862614,0.4465332,-0.77423096,-0.43756104,-0.46875,-0.109375,-0.28125
1695828862654,0.4572754,-0.76641846,-0.4151001,0.5,-1.75,-0.4375
